id,template_id,section,label,unique_name,type,options,order,field_group_order,created_at,updated_at
2,5,Header,Left Logo,header.left_logo,image,"{""required"":true,""static"":true,""style"":{""align"":""left""},""show_section_name"":true,""default"":""http:\/\/api.doctorforms.test\/storage\/template-fields\/images\/qte4ChnY2SsirUQCM6qrmky30EPmCX6nOA4vlj8v.png"",""image_url"":""http:\/\/api.doctorforms.test\/storage\/template-fields\/images\/qte4ChnY2SsirUQCM6qrmky30EPmCX6nOA4vlj8v.png""}",1,1,2026-03-08 21:23:59,2026-03-30 05:30:08
3,5,Header,Right Logo,header.right_logo,image,"{""required"":true,""static"":true,""style"":{""align"":""right""},""show_section_name"":true,""default"":""http:\/\/api.doctorforms.test\/storage\/template-fields\/images\/CDpjclauSz2lbiVq7jzKvom0lWa05wn1x2T8lJOJ.png"",""image_url"":""http:\/\/api.doctorforms.test\/storage\/template-fields\/images\/CDpjclauSz2lbiVq7jzKvom0lWa05wn1x2T8lJOJ.png""}",2,1,2026-03-08 21:24:54,2026-03-30 05:30:08
4,5,Header,Info Line 2,header.info_line_2,title,"{""required"":true,""static"":true,""style"":{""align"":""center""},""show_section_name"":true,""title_tag"":""h6"",""default"":""Email: rsud@kalbarprov.go.id \/ tu.rsdrsoedarso@gmail.com, Website: http:\/\/rsuddrsoedarso.kabarprov.go.id""}",6,1,2026-03-08 21:27:54,2026-03-30 05:30:08
5,5,Header,Provinsi Kalbar,header.provinsi_kalbar,title,"{""required"":true,""static"":true,""style"":{""align"":""center""},""show_section_name"":true,""title_tag"":""h2"",""default"":""Pemerintah Provinsi Kalimantan Barat""}",3,1,2026-03-08 21:27:54,2026-03-30 05:30:08
6,5,Header,Hospital Name,header.hospital_name,title,"{""required"":true,""static"":true,""style"":{""align"":""center""},""show_section_name"":true,""title_tag"":""h1"",""default"":""Rumah Sakit Umum Daerah Dokter Soedarso""}",4,1,2026-03-08 21:27:54,2026-03-30 05:30:09
8,5,Header,Kota,header.kota,title,"{""required"":true,""static"":true,""style"":{""align"":""center""},""show_section_name"":true,""title_tag"":""h1"",""default"":""Pontianak""}",8,1,2026-03-08 21:27:54,2026-03-30 05:30:08
9,5,Header,Info Line 1,header.info_line_1,title,"{""required"":true,""static"":true,""style"":{""align"":""center""},""show_section_name"":true,""title_tag"":""h6"",""default"":""Jalan dr. Soedarso No. 1, Telp: (0561) 737701, (0561) 746152, Faks: (0561) 736528, WA\/Telegram: 085294445252""}",5,1,2026-03-08 21:27:54,2026-03-30 05:30:08
10,5,Header,Report Title,header.report_title,title,"{""required"":true,""static"":true,""style"":{""align"":""center""},""show_section_name"":true,""title_tag"":""h4"",""default"":""Transthoracic Echocardiography Report""}",9,1,2026-03-08 21:27:54,2026-03-30 05:30:09
11,5,General,Name,general.name,text,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",1,2,2026-03-08 21:33:16,2026-03-30 05:30:09
12,5,General,MRN,general.mrn,text,"{""required"":true,""static"":false,""style"":{""align"":""center""},""show_section_name"":true}",2,2,2026-03-08 21:33:16,2026-03-30 05:30:09
